tilename;rall;decll;raur;decur;archive_path
DES0001-0541;0.006752;-6.059722;0.740946;-5.329167;Y6A1/r4907/DES0001-0541/p01/coadd
DES0002-5040;0.023604;-51.034722;1.176369;-50.304167;Y6A1/r4907/DES0002-5040/p01/coadd
DES0002-3415;0.058062;-34.615278;0.941915;-33.884722;Y6A1/r4907/DES0002-3415/p01/coadd
DES0003-5748;0.06728;-58.173611;1.438732;-57.443056;Y6A1/r4907/DES0003-5748/p01/coadd
DES0003-6248;0.105073;-63.170833;1.703901;-62.440278;Y6A1/r4907/DES0003-6248/p01/coadd
DES0003-6456;0.105081;-65.3125;1.830672;-64.581944;Y6A1/r4907/DES0003-6456/p01/coadd
DES0001-0624;0.119081;-6.773611;0.854245;-6.043056;Y6A1/r4907/DES0001-0624/p01/coadd
DES0003-5457;0.136403;-55.318056;1.408722;-54.5875;Y6A1/r4907/DES0003-5457/p01/coadd
DES0002-4206;0.139532;-42.468056;1.124236;-41.7375;Y6A1/r4907/DES0002-4206/p01/coadd
DES0002-4249;0.142501;-43.181944;1.138498;-42.451389;Y6A1/r4907/DES0002-4249/p01/coadd
DES0002-4123;0.149698;-41.754167;1.123512;-41.023611;Y6A1/r4907/DES0002-4123/p01/coadd
DES0002-4331;0.158911;-43.895833;1.166622;-43.165278;Y6A1/r4907/DES0002-4331/p01/coadd
DES0002-4040;0.172719;-41.040278;1.136028;-40.309722;Y6A1/r4907/DES0002-4040/p01/coadd
DES0002-4414;0.189092;-44.609722;1.208955;-43.879167;Y6A1/r4907/DES0002-4414/p01/coadd
DES0003-5123;0.199252;-51.748611;1.369912;-51.018056;Y6A1/r4907/DES0003-5123/p01/coadd
DES0002-3332;0.205558;-33.901389;1.082043;-33.170833;Y6A1/r4907/DES0002-3332/p01/coadd
DES0002-3957;0.208333;-40.326389;1.161509;-39.595833;Y6A1/r4907/DES0002-3957/p01/coadd
DES0003-6039;0.215842;-61.029167;1.707201;-60.298611;Y6A1/r4907/DES0003-6039/p01/coadd
DES0003-4457;0.233402;-45.323611;1.265875;-44.593056;Y6A1/r4907/DES0003-4457/p01/coadd
DES0002-3914;0.256302;-39.6125;1.199701;-38.881944;Y6A1/r4907/DES0002-3914/p01/coadd
DES0003-4540;0.292225;-46.0375;1.33779;-45.306944;Y6A1/r4907/DES0003-4540/p01/coadd
DES0002+0001;0.301386;-0.348611;1.031956;0.381944;Y6A1/r4907/DES0002+0001/p01/coadd
DES0002-0041;0.307669;-1.0625;1.038294;-0.331944;Y6A1/r4907/DES0002-0041/p01/coadd
DES0002+0043;0.308346;0.365278;1.038975;1.095833;Y6A1/r4907/DES0002+0043/p01/coadd
